	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	direction
RGS18	6219.02428953825	2.62160566819221	0.233244734654345	11.2397206825581	2.60204323896429e-29	1.82884609050605e-25	up
CCDC126	695.034938043025	2.51345920734618	0.223565550462854	11.2426051426192	2.5183895339166e-29	1.82884609050605e-25	up
SH3BGRL	2941.37988763995	1.75464676268849	0.156845979923277	11.1870687635526	4.71772799667888e-29	2.21057008164384e-25	up
CNIH1	649.101824774133	1.61923929394813	0.14538437475237	11.137643207574	8.22676187056446e-29	2.89108979036311e-25	up
LPAR6	2955.65097460606	2.61354378075419	0.24087585005883	10.8501694134795	1.9905605366576e-27	5.59626189275917e-24	up
PPBP	15577.7168815753	3.28081813664232	0.306511517325513	10.7037352634228	9.77563955906844e-27	2.29026942136375e-23	up
ZNF92	957.151018600265	3.22782699645006	0.305177957664302	10.5768680711884	3.81497894524937e-26	7.66102271905291e-23	up
COLGALT2	142.285043330819	-2.22841983386523	0.213016448225747	-10.4612571114867	1.30117728338067e-25	2.28633113406025e-22	down
GMFB	1507.23588808315	2.75651117378561	0.275885296293845	9.99151172902546	1.66030087457712e-23	2.5932054882145e-20	up
VAT1	1030.53061528155	1.32436163110048	0.132878156293473	9.96673695694201	2.13115588223523e-23	2.99576582365807e-20	up
MPLKIP	206.454746591192	1.88988013390773	0.191836032520888	9.85153888491702	6.75024010322529e-23	8.62619319373072e-20	up
ARL15	463.558701862028	1.77240194318397	0.180757504837619	9.80541275326951	1.06709839216234e-22	1.25001684155217e-19	up
ERP27	333.729011739431	-1.80879880236202	0.185031449727399	-9.77562898105627	1.43264664574813e-22	1.54913183840627e-19	down
ASPM	196.106539959022	2.41741737193383	0.249945901095292	9.67176241474825	3.9747325245538e-22	3.99091536411806e-19	up
AASDHPPT	620.519217064311	1.48273182256437	0.156130075388941	9.49677260368121	2.16496139337767e-21	2.02885748711399e-18	up
CCNG1	1782.08343153183	1.73655958992944	0.183037804384763	9.48743673891009	2.36784998493053e-21	2.08030420238553e-18	up
TRIQK	627.396738440667	1.91209612632265	0.205268204527987	9.31511107976759	1.21824997883867e-20	1.00734940897266e-17	up
ARL6IP5	5012.18306089184	1.20105880759412	0.129240269100712	9.29322428645035	1.49683771865476e-20	1.16894710061833e-17	up
AGAP4	292.818277612644	-1.73231205972097	0.187500565198391	-9.2389698019739	2.4888185647906e-20	1.84133276659271e-17	down
TSPO	2215.96610084663	2.50434865409599	0.271573783084787	9.22161419872444	2.92660763446715e-20	2.05696617588524e-17	up
SYNE1	7462.4736230845	-1.43528194037102	0.156316600557652	-9.18189069651412	4.23587668662171e-20	2.83541517065912e-17	down
TAF1	1387.28370219998	-1.45582282879296	0.1586714147795	-9.17507939798776	4.51241802611228e-20	2.88323000877547e-17	down
NDUFA5	738.05363052741	1.85025867075932	0.202561878493203	9.13428866538383	6.58381696751523e-20	4.02385717879833e-17	up
RGS3	1448.77219173534	-1.28246491365657	0.141644677375168	-9.05409887206536	1.37700031877195e-19	8.06520561707386e-17	down
PF4V1	265.512134782425	3.58670194434236	0.396583557975634	9.04400062032508	1.51040413298417e-19	8.49270035894341e-17	up
RPL18A	8108.28187274433	1.70327693280146	0.191339987269178	8.90183467194071	5.49310482496823e-19	2.96986825094532e-16	up
MIF	800.204804019019	2.37253416405555	0.267310723471593	8.87556673089354	6.9578202446405e-19	3.62244737699672e-16	up
RPL18	15117.6618071311	1.88440696108001	0.212624219830761	8.86261669804085	7.81579306543546e-19	3.92380725431522e-16	up
UVSSA	681.933810333576	-1.43421462801868	0.162079713304635	-8.84882258721062	8.84474468897989e-19	4.28726124458587e-16	down
RPL39	365.64942467655	2.86810928149705	0.325684553650157	8.80640254305063	1.29226356821964e-18	5.78147649719612e-16	up
MRPS12	265.410893832103	2.28143017665745	0.259063144729777	8.80646368682491	1.29155917533471e-18	5.78147649719612e-16	up
ZNF160	706.183324283583	-1.5260775711327	0.173332209469557	-8.8043507655208	1.31612184612845e-18	5.78147649719612e-16	down
CCDC57	665.89380417847	-1.03246799750075	0.117711531590411	-8.771171214502	1.76817341674638e-18	7.53188294521331e-16	down
KIF20B	593.195200267213	1.79724793500697	0.205023629443618	8.76605267346129	1.85039475817601e-18	7.650293857553e-16	up
ZC3H12B	903.405228546548	2.06093819336829	0.23524585486582	8.76078430603513	1.93896506760824e-18	7.787437701534e-16	up
LRRC40	523.396463511835	2.39764153181356	0.275130665424654	8.71455578429575	2.91900951545094e-18	1.13979213218594e-15	up
EAF2	623.439195625584	2.10676124151142	0.241911224285927	8.70881972397167	3.07055167243515e-18	1.16656067187624e-15	up
BRCA2	471.147195071496	2.26900650953785	0.260717533268857	8.70293025976893	3.23422683553133e-18	1.19640859544905e-15	up
RPS2	11065.1714001609	2.08479494875711	0.239849744132398	8.69208744123692	3.55840032362159e-18	1.27450445540255e-15	up
MANEA	481.238694354976	2.07771908801405	0.239124026482003	8.68887630649873	3.66041932821378e-18	1.27450445540255e-15	up
SYNGR2	2255.06093633337	1.38513439726448	0.159446853666232	8.68712279618868	3.71734243946109e-18	1.27450445540255e-15	up
APLF	467.990202989239	2.28112945704378	0.263223470377021	8.66613244547104	4.47046881149191e-18	1.4962233353129e-15	up
IER3IP1	279.414875470515	2.29165322412954	0.265270928317976	8.6389158384615	5.67489597771905e-18	1.81300028997265e-15	up
GSDMB	444.017545438234	-1.78767008021041	0.206907465698297	-8.6399496227802	5.62378134493895e-18	1.81300028997265e-15	down
RPS16	12119.6504870289	1.73809538149259	0.201392301041594	8.63039635826803	6.11397312206217e-18	1.90986933726284e-15	up
SDHD	1114.37026256201	1.1341660594604	0.131468986989444	8.6268715187671	6.30529388908052e-18	1.92681556953924e-15	up
JAKMIP1	166.280627766539	-2.04703949615595	0.237573747656847	-8.6164381222487	6.90690957938612e-18	2.06575378632831e-15	down
RPL13	10691.3733059107	2.03183523168844	0.235969145034181	8.61059708206393	7.26810188575746e-18	2.12849392100193e-15	up
KIAA2026	369.974265838285	-1.80056908253987	0.210447196799675	-8.55591858633229	1.16933807400269e-17	3.35456842984812e-15	down
SHMT2	1324.5787458069	1.7419194158117	0.203715592457907	8.55074172180326	1.22300017575421e-17	3.43834269411539e-15	up
RPL13A	16166.6976939303	2.17632503727238	0.254614389229927	8.54753356184856	1.25746731839693e-17	3.45184126838938e-15	up
RPS21	3484.24842550744	2.07356830703027	0.242642891612434	8.54576160566997	1.27691360856689e-17	3.45184126838938e-15	up
ARNTL	204.420746315136	-1.61282207084912	0.189708546225433	-8.50157835763806	1.87030064610825e-17	4.96053135515918e-15	down
TMEM106B	1929.79741583753	2.11119266485212	0.249174295572561	8.47275462342916	2.39657068565886e-17	6.238628542279e-15	up
ZNF593	166.376044360626	2.50178022735943	0.295729868238056	8.45968059386397	2.68110846261285e-17	6.85242575617252e-15	up
SMG1	6925.82423699084	-1.16255163717048	0.137768832128756	-8.43842267664702	3.21648633233615e-17	8.07395506672309e-15	down
CEP295NL	151.263138737461	-2.3307862388643	0.27632124685414	-8.43505979145583	3.31033525324686e-17	8.16375134296336e-15	down
WDR18	315.165012561405	2.00843931505788	0.238692258512793	8.41434626984449	3.95092035230741e-17	9.55097123030568e-15	up
PKM	17154.7813585692	1.56615598319774	0.186166933850387	8.41264316280987	4.0087308998224e-17	9.55097123030568e-15	up
ECHDC1	823.602737215757	1.56125416240282	0.185826888503046	8.40165906548678	4.40214356188218e-17	1.03134886748963e-14	up
AGAP6	335.566162581808	-1.63863753424575	0.195550668554747	-8.37960589118104	5.31052197977073e-17	1.22377061425635e-14	down
NPIPB5	946.443010751108	-1.67982471754633	0.200668853425365	-8.37112829854838	5.70691326541026e-17	1.29390451244955e-14	down
SSR4	2394.08694939391	1.99117346994504	0.2382215001898	8.35849605664727	6.35228391411846e-17	1.41736595207561e-14	up
PTCH1	307.165568728222	-1.71781624714876	0.206143367933516	-8.33311429986326	7.87430740849144e-17	1.72951780064319e-14	down
NFAT5	2964.34059691994	-1.24341703066863	0.149290034439543	-8.32886826864635	8.16188233491683e-17	1.76510123049117e-14	down
TCEAL8	317.174294722816	1.52263128848934	0.18297825827822	8.32137819442004	8.69463389150662e-17	1.85182528201377e-14	up
PLEKHM3	1368.45807594475	-1.09041338725515	0.131537108544418	-8.28977768571623	1.13460333274235e-16	2.38046552960584e-14	down
EYA3	629.453433696957	-1.25092895699429	0.151157274748782	-8.2756781575567	1.27726565595493e-16	2.64037107731741e-14	down
SCAND1	620.506407494722	2.08295729227283	0.252353131776183	8.25413688196366	1.5300391675915e-16	3.11706675055561e-14	up
INPP4A	5691.4654021167	-1.28040994686669	0.155360195756741	-8.24155724463382	1.69983570410047e-16	3.41351292750576e-14	down
TTK	78.9518321385441	2.88384923055568	0.350210010744356	8.23462820045089	1.80116138806681e-16	3.54884279796477e-14	up
COPS2	2366.87361039852	2.18950339210181	0.266012886974805	8.23081699913729	1.85940848728139e-16	3.54884279796477e-14	up
TMED7	1750.02022810693	1.69712224308439	0.206205397239095	8.230251321291	1.86821062139427e-16	3.54884279796477e-14	up
PCMTD1	3952.4827772739	1.46055885879531	0.177423830920717	8.23203315595173	1.84062288801051e-16	3.54884279796477e-14	up
PSMA2	322.252978039596	2.08201077524915	0.253345161872941	8.21807987118116	2.06787235516507e-16	3.84061512893251e-14	up
