id	GSM3483776	GSM3483777	GSM3483778	GSM3483779	GSM3483780	GSM3483766	GSM3483767	GSM3483768	GSM3483769	GSM3483770	GSM3483771	GSM3483772	GSM3483773	GSM3483774	GSM3483775
HTR4	0	0	0	0.013121463	0	0	0	0	0	0	0	0	0	0	0
HTR6	0.187681776	0	0.319214268	0.046593097	0.049722504	0.031952138	0.167143641	0.255746989	0	0	0.036064483	0.361526521	1.951455412	0.102938813	0.634828797
HTR7	0.505440032	0.559716156	0.577926821	0.738108464	0.91371254	0.506172481	0.381286087	0.607715618	0.477901	0.429528589	0.685582251	0.12335406	0.447722102	0.369628476	0.465783713
DHDH	0.430574288	0.090064307	0.418475689	0.769626583	0.821318245	0	0.245412013	0.410709318	0.197741249	0.113098479	0.132381007	0	0	0.377854957	0.306611893
COL13A1	0.047430449	0	0.169024946	0.047099543	0.150788897	0	0.123904308	0.032315856	0	0	0.048608651	0	0	0	0
DHFR	3.082595492	3.5110372	3.057539609	4.151340303	2.975816841	1.912287258	1.594510148	1.812561106	2.230184021	1.164639859	2.661491772	2.890748829	2.634398415	2.609433141	3.458059192
MYBPC3	6.372761031	4.595005185	2.832611093	0.777538632	5.209059584	1.481145829	0.542357683	0.874320081	1.698079875	2.399484644	1.019782241	0.876604349	0.561475795	2.942574909	3.391915555
MYBPC2	0.150631329	0.315079339	0.43919633	0.099720285	0.133022447	0.102577737	0.035772706	0.239469673	0.326671245	0.362689863	0.173669743	0	0.576079684	0.330470234	0.125141974
TMEFF1	0.249571478	0.186441049	0.589071446	0.743490917	0.6422982	1.408194717	0.990647747	0.971662249	1.773814485	1.638866698	2.000494524	0.359236558	0.997080085	1.042924062	0.710879262
TMEFF2	0	0	0	0	0	0.019117323	0	0	0	0	0	0	0	0	0
BORCS7-ASMT	3.381927202	3.464102622	3.761297105	4.396992288	3.620841126	3.703863099	3.005630783	3.325668713	2.668642824	3.045038877	3.162220316	2.748393147	1.875090826	2.855658889	3.252405748
